"","Year","Data.Value"
"852",2017,1972
"853",2017,1966
"854",2017,2007
"855",2017,2027
"856",2017,2013
"857",2017,1994
"858",2017,1978
"859",2015,248
"860",2015,268
"861",2015,298
"862",2015,332
"863",2015,354
"864",2015,375
"865",2015,404
"866",2015,430
"867",2015,457
"868",2015,471
"869",2015,515
"870",2015,532
"871",2016,569
"872",2016,626
"873",2016,671
"874",2016,706
"875",2016,751
"876",2016,809
"877",2016,856
"878",2016,898
"879",2016,940
"880",2016,996
"881",2016,1038
"882",2016,1095
"883",2017,1153
"884",2017,1180
"885",2017,1228
"886",2017,1245
"887",2017,1302
"888",2017,1336
"889",2017,1348
"890",2017,1345
"891",2017,1355
"892",2015,368
"893",2015,353
"894",2015,351
"895",2015,353
"896",2015,340
"897",2015,320
"898",2015,313
"899",2015,300
"900",2015,288
"901",2015,284
"902",2015,284
"903",2015,282
"904",2016,270
"905",2016,276
"906",2016,269
"907",2016,275
"908",2016,267
"909",2016,266
"910",2016,275
"911",2016,287
"912",2016,278
"913",2016,282
"914",2016,277
"915",2016,282
"916",2017,289
"917",2017,282
"918",2017,281
"919",2017,268
"920",2017,271
"921",2017,277
"922",2017,263
"923",2017,248
"924",2017,247
"925",2015,505
"926",2015,492
"927",2015,487
"928",2015,496
"929",2015,482
"930",2015,470
"931",2015,463
"932",2015,444
"933",2015,432
"934",2015,431
"935",2015,434
"936",2015,427
"937",2016,411
"938",2016,420
"939",2016,409
"940",2016,410
"941",2016,414
"942",2016,401
"943",2016,411
"944",2016,425
"945",2016,420
"946",2016,425
"947",2016,418
"948",2016,432
"949",2017,448
"950",2017,446
"951",2017,448
"952",2017,446
"953",2017,437
"954",2017,450
"955",2017,448
"956",2017,426
"957",2017,422
"958",2015,72
"959",2015,78
"960",2015,76
"961",2015,81
"962",2015,79
"963",2015,89
"964",2015,93
"965",2015,89
"966",2015,87
"967",2015,92
"968",2015,94
"969",2015,92
"970",2016,93
"971",2016,93
"972",2016,96
"973",2016,95
"974",2016,102
"975",2016,90
"976",2016,89
"977",2016,97
"978",2016,99
"979",2016,91
"980",2016,88
"981",2016,95
"982",2017,102
"983",2017,105
"984",2017,105
"985",2017,109
"986",2017,103
"987",2017,103
"988",2017,106
"989",2017,101
"990",2017,103
"991",2015,134
"992",2015,136
"993",2015,135
"994",2015,133
"995",2015,134
"996",2015,138
"997",2015,136
"998",2015,148
"999",2015,148
"1000",2015,150
"1001",2015,157
"1002",2015,147
"1003",2016,139
"1004",2016,142
"1005",2016,142
"1006",2016,148
"1007",2016,153
"1008",2016,146
"1009",2016,146
"1010",2016,136
"1011",2016,136
"1012",2016,132
"1013",2016,129
"1014",2016,130
"1015",2017,135
"1016",2017,136
"1017",2017,133
"1018",2017,126
"1019",2017,115
"1020",2017,114
"1021",2017,113
"1022",2017,115
"1023",2017,110
"1024",2015,340
"1025",2015,343
"1026",2015,339
"1027",2015,341
"1028",2015,326
"1029",2015,335
